"Time differences (ps)"	"Counts per bin"
-30000	3538
-29800	3581
-29600	3419
-29400	3562
-29200	3425
-29000	3476
-28800	3413
-28600	3525
-28400	3504
-28200	3509
-28000	3454
-27800	3497
-27600	3461
-27400	3521
-27200	3613
-27000	3544
-26800	3537
-26600	3614
-26400	3559
-26200	3562
-26000	3555
-25800	3436
-25600	3527
-25400	3469
-25200	3510
-25000	3484
-24800	3544
-24600	3444
-24400	3576
-24200	3402
-24000	3421
-23800	3538
-23600	3452
-23400	3446
-23200	3545
-23000	3433
-22800	3491
-22600	3510
-22400	3470
-22200	3474
-22000	3452
-21800	3469
-21600	3504
-21400	3444
-21200	3528
-21000	3489
-20800	3416
-20600	3585
-20400	3455
-20200	3510
-20000	3518
-19800	3528
-19600	3567
-19400	3434
-19200	3537
-19000	3411
-18800	3450
-18600	3389
-18400	3399
-18200	3441
-18000	3464
-17800	3485
-17600	3487
-17400	3560
-17200	3455
-17000	3467
-16800	3455
-16600	3475
-16400	3463
-16200	3441
-16000	3476
-15800	3415
-15600	3466
-15400	3458
-15200	3467
-15000	3299
-14800	3488
-14600	3498
-14400	3404
-14200	3465
-14000	3376
-13800	3436
-13600	3477
-13400	3526
-13200	3363
-13000	3421
-12800	3497
-12600	3538
-12400	3485
-12200	3538
-12000	3461
-11800	3540
-11600	3495
-11400	3420
-11200	3478
-11000	3404
-10800	3462
-10600	3432
-10400	3452
-10200	3450
-10000	3322
-9800	3347
-9600	3443
-9400	3322
-9200	3363
-9000	3342
-8800	3301
-8600	3410
-8400	3210
-8200	3430
-8000	3286
-7800	3328
-7600	3302
-7400	3304
-7200	3235
-7000	3290
-6800	3196
-6600	3256
-6400	3179
-6200	3155
-6000	3184
-5800	3119
-5600	3094
-5400	3202
-5200	3129
-5000	3110
-4800	2995
-4600	3032
-4400	2932
-4200	3050
-4000	2923
-3800	2988
-3600	2935
-3400	2926
-3200	2855
-3000	2804
-2800	2781
-2600	2802
-2400	2773
-2200	2781
-2000	2765
-1800	2820
-1600	2699
-1400	2629
-1200	2697
-1000	2631
-800	2587
-600	2576
-400	2444
-200	2557
0	2537
200	2573
400	2584
600	2586
800	2653
1000	2613
1200	2695
1400	2706
1600	2791
1800	2790
2000	2768
2200	2807
2400	2945
2600	2888
2800	2970
3000	2966
3200	2973
3400	3052
3600	2978
3800	2984
4000	3060
4200	3006
4400	3135
4600	3141
4800	3149
5000	3162
5200	3080
5400	3231
5600	3228
5800	3265
6000	3260
6200	3228
6400	3088
6600	3225
6800	3293
7000	3329
7200	3307
7400	3131
7600	3221
7800	3348
8000	3381
8200	3254
8400	3358
8600	3307
8800	3291
9000	3415
9200	3387
9400	3442
9600	3411
9800	3418
10000	3396
10200	3333
10400	3413
10600	3380
10800	3391
11000	3462
11200	3485
11400	3547
11600	3460
11800	3437
12000	3530
12200	3427
12400	3432
12600	3496
12800	3413
13000	3488
13200	3497
13400	3625
13600	3438
13800	3569
14000	3438
14200	3551
14400	3435
14600	3540
14800	3424
15000	3412
15200	3568
15400	3406
15600	3435
15800	3440
16000	3489
16200	3456
16400	3546
16600	3574
16800	3518
17000	3416
17200	3485
17400	3462
17600	3446
17800	3450
18000	3500
18200	3464
18400	3433
18600	3410
18800	3496
19000	3465
19200	3558
19400	3464
19600	3491
19800	3396
20000	3545
20200	3491
20400	3370
20600	3479
20800	3518
21000	3487
21200	3445
21400	3584
21600	3541
21800	3417
22000	3496
22200	3544
22400	3468
22600	3534
22800	3578
23000	3585
23200	3492
23400	3539
23600	3490
23800	3481
24000	3494
24200	3529
24400	3491
24600	3577
24800	3619
25000	3563
25200	3462
25400	3482
25600	3513
25800	3404
26000	3533
26200	3474
26400	3451
26600	3486
26800	3558
27000	3373
27200	3518
27400	3565
27600	3441
27800	3509
28000	3519
28200	3481
28400	3593
28600	3445
28800	3492
29000	3461
29200	3525
29400	3413
29600	3458
29800	3554
