"Time (ps)"	"Channel 1 - Count rate (counts/s)"	"Channel 2 - Count rate (counts/s)"
0	0	0
20000000000	0	0
40000000000	50	100
60000000000	0	50
80000000000	0	50
100000000000	0	0
120000000000	0	50
140000000000	0	0
160000000000	0	0
180000000000	50	0
200000000000	0	0
220000000000	0	0
240000000000	0	50
260000000000	0	0
280000000000	50	0
300000000000	0	50
320000000000	0	0
340000000000	0	0
360000000000	50	0
380000000000	0	0
400000000000	0	50
420000000000	0	0
440000000000	0	50
460000000000	100	50
480000000000	50	0
500000000000	0	0
520000000000	0	0
540000000000	0	0
560000000000	0	50
580000000000	0	150
600000000000	0	0
620000000000	50	0
640000000000	0	100
660000000000	50	50
680000000000	0	0
700000000000	50	0
720000000000	0	0
740000000000	0	50
760000000000	0	50
780000000000	50	0
800000000000	0	0
820000000000	0	0
840000000000	50	0
860000000000	0	0
880000000000	0	0
900000000000	0	0
920000000000	0	0
940000000000	0	0
960000000000	0	0
980000000000	0	0
1000000000000	0	0
1020000000000	50	100
1040000000000	0	0
1060000000000	0	0
1080000000000	0	0
1100000000000	50	0
1120000000000	50	0
1140000000000	0	0
1160000000000	0	0
1180000000000	100	0
1200000000000	0	50
1220000000000	0	0
1240000000000	0	0
1260000000000	0	50
1280000000000	0	0
1300000000000	100	0
1320000000000	100	0
1340000000000	0	50
1360000000000	0	50
1380000000000	0	0
1400000000000	0	0
1420000000000	100	0
1440000000000	0	0
1460000000000	0	0
1480000000000	0	50
1500000000000	100	0
1520000000000	50	50
1540000000000	0	50
1560000000000	50	0
1580000000000	50	50
1600000000000	0	0
1620000000000	50	0
1640000000000	0	50
1660000000000	0	0
1680000000000	0	0
1700000000000	0	0
1720000000000	0	50
1740000000000	0	0
1760000000000	50	0
1780000000000	0	0
1800000000000	0	0
1820000000000	0	50
1840000000000	0	0
1860000000000	0	50
1880000000000	0	50
1900000000000	0	0
1920000000000	0	0
1940000000000	50	0
1960000000000	0	0
1980000000000	0	0
2000000000000	0	50
2020000000000	0	100
2040000000000	0	0
2060000000000	0	0
2080000000000	0	0
2100000000000	0	0
2120000000000	0	50
2140000000000	0	50
2160000000000	0	0
2180000000000	0	0
2200000000000	0	50
2220000000000	50	0
2240000000000	50	0
2260000000000	50	0
2280000000000	0	0
2300000000000	0	0
2320000000000	50	0
2340000000000	0	0
2360000000000	0	0
2380000000000	50	0
2400000000000	0	0
2420000000000	0	0
2440000000000	0	0
2460000000000	0	0
2480000000000	50	0
2500000000000	50	50
2520000000000	0	0
2540000000000	0	0
2560000000000	0	0
2580000000000	50	0
2600000000000	0	0
2620000000000	50	0
2640000000000	0	50
2660000000000	0	0
2680000000000	0	0
2700000000000	0	0
2720000000000	0	0
2740000000000	0	0
2760000000000	50	0
2780000000000	0	0
2800000000000	0	0
2820000000000	0	0
2840000000000	0	0
2860000000000	0	0
2880000000000	0	0
2900000000000	0	0
2920000000000	0	50
2940000000000	0	0
2960000000000	0	0
2980000000000	50	0
3000000000000	0	0
3020000000000	50	100
3040000000000	0	0
3060000000000	50	0
3080000000000	0	0
3100000000000	0	0
3120000000000	50	0
3140000000000	100	0
3160000000000	0	0
3180000000000	0	0
3200000000000	50	0
3220000000000	0	0
3240000000000	0	0
3260000000000	0	100
3280000000000	50	0
3300000000000	50	50
3320000000000	0	0
3340000000000	0	0
3360000000000	0	0
3380000000000	496200	657150
3400000000000	660800	877850
3420000000000	651850	859050
3440000000000	643400	849400
3460000000000	666250	877250
