"Time differences (ps)"	"Counts per bin"
-300000	9396
-298000	9425
-296000	9440
-294000	9500
-292000	9557
-290000	9500
-288000	9469
-286000	9519
-284000	9630
-282000	9519
-280000	9393
-278000	9398
-276000	9516
-274000	9379
-272000	9620
-270000	9518
-268000	9499
-266000	9491
-264000	9559
-262000	9381
-260000	9427
-258000	9411
-256000	9402
-254000	9667
-252000	9427
-250000	9273
-248000	9466
-246000	9438
-244000	9518
-242000	9454
-240000	9567
-238000	9483
-236000	9489
-234000	9361
-232000	9398
-230000	9784
-228000	9467
-226000	9496
-224000	9489
-222000	9556
-220000	9430
-218000	9394
-216000	9434
-214000	9360
-212000	9591
-210000	9509
-208000	9582
-206000	9399
-204000	9592
-202000	9374
-200000	9486
-198000	9419
-196000	9330
-194000	9291
-192000	9365
-190000	9513
-188000	9457
-186000	9596
-184000	9450
-182000	9531
-180000	9506
-178000	9448
-176000	9579
-174000	9348
-172000	9564
-170000	9422
-168000	9530
-166000	9331
-164000	9333
-162000	9584
-160000	9451
-158000	9637
-156000	9583
-154000	9308
-152000	9508
-150000	9372
-148000	9398
-146000	9382
-144000	9476
-142000	9399
-140000	9514
-138000	9583
-136000	9592
-134000	9549
-132000	9539
-130000	9476
-128000	9491
-126000	9606
-124000	9432
-122000	9455
-120000	9525
-118000	9385
-116000	9427
-114000	9416
-112000	9489
-110000	9603
-108000	9458
-106000	9492
-104000	9498
-102000	9588
-100000	9425
-98000	9245
-96000	9539
-94000	9440
-92000	9471
-90000	9424
-88000	9348
-86000	9384
-84000	9417
-82000	9501
-80000	9385
-78000	9231
-76000	9636
-74000	9494
-72000	9382
-70000	9490
-68000	9452
-66000	9272
-64000	9571
-62000	9468
-60000	9418
-58000	9513
-56000	9353
-54000	9319
-52000	9376
-50000	9376
-48000	9361
-46000	9348
-44000	9581
-42000	9283
-40000	9191
-38000	9469
-36000	9236
-34000	9404
-32000	9255
-30000	9143
-28000	9046
-26000	9119
-24000	8761
-22000	8726
-20000	8580
-18000	8378
-16000	8024
-14000	7511
-12000	6994
-10000	6694
-8000	5727
-6000	4962
-4000	3671
-2000	2511
0	2542
2000	3795
4000	4999
6000	5763
8000	6451
10000	7054
12000	7653
14000	7993
16000	8264
18000	8656
20000	8738
22000	8987
24000	8923
26000	9114
28000	9141
30000	9241
32000	9400
34000	9482
36000	9385
38000	9346
40000	9439
42000	9441
44000	9323
46000	9353
48000	9286
50000	9550
52000	9480
54000	9583
56000	9531
58000	9397
60000	9513
62000	9522
64000	9643
66000	9563
68000	9492
70000	9392
72000	9593
74000	9421
76000	9433
78000	9545
80000	9481
82000	9454
84000	9379
86000	9321
88000	9536
90000	9477
92000	9375
94000	9464
96000	9482
98000	9361
100000	9622
102000	9568
104000	9432
106000	9601
108000	9468
110000	9548
112000	9555
114000	9461
116000	9385
118000	9459
120000	9361
122000	9552
124000	9544
126000	9443
128000	9573
130000	9473
132000	9458
134000	9408
136000	9332
138000	9442
140000	9506
142000	9573
144000	9460
146000	9530
148000	9559
150000	9378
152000	9414
154000	9448
156000	9377
158000	9449
160000	9431
162000	9446
164000	9323
166000	9496
168000	9399
170000	9499
172000	9502
174000	9573
176000	9506
178000	9532
180000	9429
182000	9484
184000	9698
186000	9344
188000	9532
190000	9362
192000	9540
194000	9354
196000	9546
198000	9424
200000	9463
202000	9344
204000	9362
206000	9358
208000	9437
210000	9506
212000	9553
214000	9375
216000	9482
218000	9357
220000	9268
222000	9651
224000	9575
226000	9533
228000	9458
230000	9558
232000	9449
234000	9581
236000	9560
238000	9410
240000	9540
242000	9454
244000	9404
246000	9348
248000	9586
250000	9365
252000	9598
254000	9460
256000	9495
258000	9424
260000	9400
262000	9566
264000	9415
266000	9273
268000	9357
270000	9603
272000	9517
274000	9558
276000	9289
278000	9315
280000	9560
282000	9459
284000	9540
286000	9553
288000	9433
290000	9455
292000	9388
294000	9406
296000	9371
298000	9406
