"Time (ps)"	"Channel 1 - Count rate (counts/s)"	"Channel 2 - Count rate (counts/s)"
0	696450	738950
20000000000	713150	763600
40000000000	729850	785650
60000000000	724600	776200
80000000000	727650	769900
100000000000	711950	750550
120000000000	737850	777500
140000000000	708550	747500
160000000000	719500	757850
180000000000	744200	786450
200000000000	675500	717000
220000000000	738100	778050
240000000000	728200	778200
260000000000	728700	784300
280000000000	734750	778700
300000000000	742650	785650
320000000000	726400	766300
340000000000	744100	780300
360000000000	700400	740850
380000000000	721800	759400
400000000000	730450	764700
420000000000	710650	749950
440000000000	723400	768050
460000000000	735450	764750
480000000000	705550	751950
500000000000	705700	740200
520000000000	713050	739100
540000000000	682550	732850
560000000000	739250	791600
580000000000	718250	753500
600000000000	719150	766400
620000000000	737650	776200
640000000000	720400	766350
660000000000	714600	761900
680000000000	733750	778050
700000000000	748550	787050
720000000000	743500	788500
740000000000	740250	771750
760000000000	740450	783300
780000000000	701200	766200
800000000000	730150	778050
820000000000	745250	781750
840000000000	730400	777150
860000000000	718100	759200
880000000000	751750	786400
900000000000	716600	773250
920000000000	755150	796200
940000000000	752600	796200
960000000000	745200	786100
980000000000	732500	777650
1000000000000	729200	769700
1020000000000	707350	756950
1040000000000	755900	800150
1060000000000	766950	801750
1080000000000	723200	764650
1100000000000	755000	804750
1120000000000	720650	773950
1140000000000	741750	785250
1160000000000	749000	781750
1180000000000	711700	751600
1200000000000	743350	795150
1220000000000	729200	777000
1240000000000	714100	750450
1260000000000	739850	772750
1280000000000	733950	781500
1300000000000	698550	753150
1320000000000	746550	782400
1340000000000	714250	769250
1360000000000	694950	745750
1380000000000	718000	770900
1400000000000	718100	760500
1420000000000	720050	764000
1440000000000	718300	769450
1460000000000	704050	746100
1480000000000	705450	750300
1500000000000	721400	772200
1520000000000	710950	745250
1540000000000	724350	774450
1560000000000	713050	761350
1580000000000	697550	750350
1600000000000	727600	769700
1620000000000	698300	743100
1640000000000	750350	787500
1660000000000	717200	747300
1680000000000	734150	773600
1700000000000	739050	790500
1720000000000	711650	753850
1740000000000	726300	772000
1760000000000	706550	743300
1780000000000	710450	753700
1800000000000	707100	755450
1820000000000	716850	756700
1840000000000	711800	755150
1860000000000	699750	745000
1880000000000	735050	778400
1900000000000	710650	738250
1920000000000	708950	746950
1940000000000	737500	787750
1960000000000	729900	779850
1980000000000	700000	762050
2000000000000	724150	770250
2020000000000	732850	778450
2040000000000	759000	791700
2060000000000	731550	779300
2080000000000	723800	764200
2100000000000	728800	781200
2120000000000	703900	759600
2140000000000	747950	797100
2160000000000	745450	791100
2180000000000	753250	810000
2200000000000	737550	773800
2220000000000	769650	812300
2240000000000	706800	745450
2260000000000	732100	755350
2280000000000	737500	796350
2300000000000	748150	812050
2320000000000	757050	792350
2340000000000	736600	769350
2360000000000	720000	777200
2380000000000	727850	761650
2400000000000	783500	807750
2420000000000	736100	776300
2440000000000	734450	761150
2460000000000	726150	774600
2480000000000	719350	767250
2500000000000	690600	718650
2520000000000	744050	785100
2540000000000	758850	798650
2560000000000	752950	780850
2580000000000	729000	780500
2600000000000	742750	784100
2620000000000	748550	788350
2640000000000	713300	764100
2660000000000	752400	781600
2680000000000	751150	801700
2700000000000	727500	765950
2720000000000	712200	752400
2740000000000	718500	761950
2760000000000	716500	757750
2780000000000	711000	752350
2800000000000	725700	768300
2820000000000	710650	748600
2840000000000	723850	755650
2860000000000	713700	749850
2880000000000	735000	781600
2900000000000	733400	762050
2920000000000	740300	785700
2940000000000	714950	767350
2960000000000	764200	803500
2980000000000	742900	773900
3000000000000	728550	767650
3020000000000	717650	754050
3040000000000	714250	748050
3060000000000	708800	758950
3080000000000	744900	795500
3100000000000	738700	771100
3120000000000	746650	796850
3140000000000	751500	784350
3160000000000	711300	753600
3180000000000	742200	786600
3200000000000	690600	738700
3220000000000	720150	774450
3240000000000	703650	729750
3260000000000	730550	767200
3280000000000	749300	784600
3300000000000	730250	769950
3320000000000	722450	749950
3340000000000	683950	727400
3360000000000	744100	774600
3380000000000	780650	821800
3400000000000	753500	801900
3420000000000	752750	786600
3440000000000	722450	776450
3460000000000	750050	802750
3480000000000	734050	797500
3500000000000	750900	786050
3520000000000	697550	735050
3540000000000	702800	748350
3560000000000	726250	765750
3580000000000	726400	760950
3600000000000	674100	718550
3620000000000	719450	771000
3640000000000	721150	773150
3660000000000	686800	738400
3680000000000	750200	788650
3700000000000	745650	791800
3720000000000	725450	776150
3740000000000	736450	784250
3760000000000	712200	757800
3780000000000	736000	783750
3800000000000	706350	742900
3820000000000	698800	757000
3840000000000	727150	767100
3860000000000	710200	743650
3880000000000	722450	769550
3900000000000	728950	773700
3920000000000	725350	753050
3940000000000	739100	789350
3960000000000	751150	790800
3980000000000	734500	772700
4000000000000	728400	786350
4020000000000	709550	740150
4040000000000	703950	759400
4060000000000	697250	731400
4080000000000	744300	787550
4100000000000	736600	778200
4120000000000	735550	779100
4140000000000	716350	765650
4160000000000	737450	789400
4180000000000	721300	766050
4200000000000	755950	803150
4220000000000	701850	758350
4240000000000	739950	768800
4260000000000	715000	756400
4280000000000	699450	745700
4300000000000	695800	749000
4320000000000	712600	750100
4340000000000	701250	747700
4360000000000	727550	770350
4380000000000	697350	748700
4400000000000	708300	739250
4420000000000	709900	755300
4440000000000	690800	736750
4460000000000	728600	771200
4480000000000	748150	774050
4500000000000	748650	792400
4520000000000	723800	765400
4540000000000	737200	774550
4560000000000	723750	764050
4580000000000	692450	725950
4600000000000	702150	743700
4620000000000	712450	755900
4640000000000	711750	758150
4660000000000	735100	773100
4680000000000	720600	758100
4700000000000	724350	767250
4720000000000	742650	781900
4740000000000	753250	801650
4760000000000	691000	737900
4780000000000	755550	789100
4800000000000	745700	786850
4820000000000	738600	777550
4840000000000	734550	790150
4860000000000	744150	785050
4880000000000	707100	747900
4900000000000	740450	757700
4920000000000	725550	759600
4940000000000	730000	771450
4960000000000	714200	757250
4980000000000	734300	785650
5000000000000	730000	767800
5020000000000	726600	776850
5040000000000	730200	768750
5060000000000	724400	743600
5080000000000	734800	769450
5100000000000	729600	781300
5120000000000	723200	767350
5140000000000	708050	752900
5160000000000	740800	780950
5180000000000	717650	749300
5200000000000	725550	763200
5220000000000	731700	780550
5240000000000	699450	754200
5260000000000	717850	754700
5280000000000	701400	744650
5300000000000	767700	801300
5320000000000	760800	801000
5340000000000	732850	774750
5360000000000	689150	734950
5380000000000	727800	751750
5400000000000	744450	773900
5420000000000	687700	734050
5440000000000	725200	777250
5460000000000	744000	800700
5480000000000	735150	776000
5500000000000	740100	778650
5520000000000	711900	755250
5540000000000	731700	772500
5560000000000	716150	758500
5580000000000	740900	775900
5600000000000	728450	757250
5620000000000	713200	760500
5640000000000	719050	775700
5660000000000	722700	756850
5680000000000	737600	778700
5700000000000	747850	790850
5720000000000	723700	770450
5740000000000	723250	763150
5760000000000	734800	782950
5780000000000	741950	786100
5800000000000	727700	756050
5820000000000	767750	807100
5840000000000	707050	742200
5860000000000	722750	754000
5880000000000	695050	725650
5900000000000	698200	742300
5920000000000	756000	804100
5940000000000	736300	772800
5960000000000	756600	791200
5980000000000	757450	777450
6000000000000	721500	750450
6020000000000	751750	798550
6040000000000	730950	776150
6060000000000	754900	791900
6080000000000	738750	769100
6100000000000	732850	765650
6120000000000	735150	781100
6140000000000	744250	793200
6160000000000	743450	794400
6180000000000	722950	770950
6200000000000	726600	757700
6220000000000	754300	787950
6240000000000	688300	738600
6260000000000	715100	761700
6280000000000	757850	791050
6300000000000	740450	773200
6320000000000	721900	761600
6340000000000	699750	739650
6360000000000	729800	771300
6380000000000	718900	755700
6400000000000	686650	733100
6420000000000	756450	805100
6440000000000	709850	757550
6460000000000	754250	809950
6480000000000	708650	755550
6500000000000	718500	767850
6520000000000	702750	753750
6540000000000	748850	794450
6560000000000	754200	784400
6580000000000	695050	719600
6600000000000	741150	769950
6620000000000	755050	793000
6640000000000	714100	775000
6660000000000	726950	763250
6680000000000	724200	769200
6700000000000	719700	764450
6720000000000	730400	774250
6740000000000	713150	751850
6760000000000	752400	792250
6780000000000	728000	765650
6800000000000	711800	748400
6820000000000	713750	742550
6840000000000	699850	747550
6860000000000	727000	769600
6880000000000	698900	739750
6900000000000	732100	773400
6920000000000	755150	787550
6940000000000	734250	767350
6960000000000	734500	783150
6980000000000	725950	780200
7000000000000	740400	767000
7020000000000	709450	763750
7040000000000	721900	757550
7060000000000	687800	729650
7080000000000	694100	741400
7100000000000	728800	760950
7120000000000	727150	765650
7140000000000	705300	745250
7160000000000	708400	745850
7180000000000	717450	757800
7200000000000	721700	770350
7220000000000	691850	741900
7240000000000	729600	768500
7260000000000	734800	770650
7280000000000	737800	772400
7300000000000	745450	781700
7320000000000	734150	780150
7340000000000	713500	752250
7360000000000	742850	785300
7380000000000	719300	769500
7400000000000	694850	746050
7420000000000	726900	762700
7440000000000	733250	770000
7460000000000	706150	739300
7480000000000	742600	788300
7500000000000	703200	746400
7520000000000	745350	790300
7540000000000	744300	800150
7560000000000	692200	731350
7580000000000	749350	786200
7600000000000	771200	803350
7620000000000	697050	754850
7640000000000	723700	749550
7660000000000	756850	808700
7680000000000	731800	771600
7700000000000	749150	790550
7720000000000	724650	759900
