"Time (ps)"	"Counts per bin"
0	1
100	1
200	8
300	3
400	6
500	4
600	5
700	6
800	7
900	4
1000	6
1100	2
1200	3
1300	4
1400	10
1500	3
1600	6
1700	6
1800	3
1900	3
2000	2
2100	3
2200	6
2300	6
2400	5
2500	4
2600	6
2700	5
2800	6
2900	7
3000	5
3100	3
3200	5
3300	7
3400	2
3500	4
3600	3
3700	7
3800	5
3900	4
4000	4
4100	9
4200	4
4300	3
4400	6
4500	4
4600	3
4700	4
4800	6
4900	7
5000	4
5100	4
5200	8
5300	1
5400	5
5500	5
5600	4
5700	3
5800	6
5900	2
6000	6
6100	5
6200	1
6300	6
6400	6
6500	2
6600	5
6700	6
6800	7
6900	8
7000	6
7100	7
7200	3
7300	4
7400	3
7500	1
7600	8
7700	1
7800	8
7900	9
8000	5
8100	5
8200	5
8300	3
8400	1
8500	7
8600	5
8700	6
8800	4
8900	4
9000	1
9100	5
9200	6
9300	6
9400	7
9500	1
9600	11
9700	2
9800	8
9900	4
10000	1
10100	7
10200	0
10300	2
10400	4
10500	2
10600	3
10700	4
10800	7
10900	1
11000	6
11100	7
11200	4
11300	3
11400	4
11500	4
11600	2
11700	2
11800	10
11900	5
12000	4
12100	4
12200	2
12300	4
12400	4
12500	3
12600	5
12700	4
12800	3
12900	4
13000	2
13100	4
13200	0
13300	7
13400	1
13500	4
13600	4
13700	3
13800	3
13900	4
14000	5
14100	3
14200	4
14300	2
14400	3
14500	5
14600	7
14700	5
14800	3
14900	5
15000	2
15100	4
15200	3
15300	4
15400	2
15500	3
15600	3
15700	5
15800	4
15900	4
16000	7
16100	3
16200	3
16300	5
16400	10
16500	6
16600	7
16700	14
16800	25
16900	91
17000	173
17100	291
17200	489
17300	647
17400	905
17500	1116
17600	1333
17700	1538
17800	1759
17900	1989
18000	2209
18100	2380
18200	2512
18300	2595
18400	2583
18500	2627
18600	2560
18700	2536
18800	2404
18900	2453
19000	2311
19100	2229
19200	2078
19300	1971
19400	2039
19500	1910
19600	1907
19700	1889
19800	1728
19900	1716
20000	1626
20100	1665
20200	1536
20300	1549
20400	1538
20500	1456
20600	1408
20700	1375
20800	1418
20900	1418
21000	1329
21100	1294
21200	1253
21300	1231
21400	1210
21500	1162
21600	1209
21700	1154
21800	1154
21900	1131
22000	1079
22100	1008
22200	1059
22300	1039
22400	1018
22500	966
22600	977
22700	943
22800	955
22900	899
23000	937
23100	899
23200	910
23300	912
23400	841
23500	821
23600	862
23700	865
23800	800
23900	794
24000	778
24100	741
24200	814
24300	740
24400	773
24500	794
24600	750
24700	733
24800	714
24900	755
25000	719
25100	718
25200	670
25300	722
25400	668
25500	651
25600	624
25700	685
25800	676
25900	640
26000	689
26100	660
26200	661
26300	623
26400	586
26500	616
26600	582
26700	582
26800	577
26900	575
27000	591
27100	572
27200	558
27300	575
27400	565
27500	565
27600	528
27700	552
27800	531
27900	555
28000	539
28100	516
28200	523
28300	480
28400	482
28500	486
28600	481
28700	529
28800	472
28900	481
29000	461
29100	509
29200	477
29300	469
29400	492
29500	478
29600	466
29700	441
29800	435
29900	426
30000	455
30100	451
30200	459
30300	463
30400	445
30500	437
30600	421
30700	460
30800	422
30900	424
31000	430
31100	434
31200	406
31300	416
31400	431
31500	410
31600	389
31700	399
31800	398
31900	385
32000	421
32100	397
32200	395
32300	356
32400	408
32500	382
32600	396
32700	393
32800	385
32900	383
33000	362
33100	386
33200	360
33300	380
33400	370
33500	366
33600	371
33700	358
33800	366
33900	372
34000	358
34100	339
34200	336
34300	368
34400	360
34500	343
34600	345
34700	320
34800	350
34900	383
35000	323
35100	330
35200	339
35300	304
35400	322
35500	325
35600	344
35700	317
35800	327
35900	332
36000	303
36100	309
36200	335
36300	303
36400	315
36500	341
36600	317
36700	320
36800	332
36900	293
37000	311
37100	316
37200	305
37300	308
37400	277
37500	288
37600	303
37700	294
37800	293
37900	277
38000	264
